date,ticker,return
2025-03-10,AFRM,-0.107177
2025-03-10,AMZN,-0.023639
2025-03-10,GOOGL,-0.045957
2025-03-10,META,-0.044225
2025-03-10,MSFT,-0.033434
2025-03-10,NVDA,-0.050670
2025-03-10,PLTR,-0.100459
2025-03-10,RIVN,-0.018800
2025-03-10,SOFI,-0.111994
2025-03-10,TSLA,-0.154262
2025-03-10,UPST,-0.117154
2025-03-11,AAPL,-0.029189
2025-03-11,AFRM,0.007974
2025-03-11,AMZN,0.010538
2025-03-11,GOOGL,-0.011033
2025-03-11,META,0.012910
2025-03-11,MSFT,0.000763
2025-03-11,NVDA,0.016639
2025-03-11,PLTR,0.021864
2025-03-11,RIVN,-0.015511
2025-03-11,SOFI,0.007156
2025-03-11,TSLA,0.037947
2025-03-11,UPST,-0.015823
2025-03-12,AAPL,-0.017479
2025-03-12,AFRM,0.043618
2025-03-12,AMZN,0.011699
2025-03-12,GOOGL,0.018715
2025-03-12,META,0.022866
2025-03-12,MSFT,0.007412
2025-03-12,NVDA,0.064178
2025-03-12,PLTR,0.071749
2025-03-12,RIVN,0.025023
2025-03-12,SOFI,0.058615
2025-03-12,TSLA,0.075939
2025-03-12,UPST,0.064523
2025-03-13,AAPL,-0.033644
2025-03-13,AFRM,-0.039131
2025-03-13,AMZN,-0.025140
2025-03-13,GOOGL,-0.026031
2025-03-13,META,-0.046678
2025-03-13,MSFT,-0.011741
2025-03-13,NVDA,-0.001382
2025-03-13,PLTR,-0.048177
2025-03-13,RIVN,-0.040687
2025-03-13,SOFI,-0.044463
2025-03-13,TSLA,-0.029868
2025-03-13,UPST,-0.067459
2025-03-14,AAPL,0.018171
2025-03-14,AFRM,0.067804
2025-03-14,AMZN,0.020940
2025-03-14,GOOGL,0.016773
2025-03-14,META,0.028715
2025-03-14,MSFT,0.025847
2025-03-14,NVDA,0.052691
2025-03-14,PLTR,0.083145
2025-03-14,RIVN,0.013195
2025-03-14,SOFI,0.061457
2025-03-14,TSLA,0.038641
2025-03-14,UPST,0.048154
2025-03-17,AAPL,0.002389
2025-03-17,AFRM,-0.042332
2025-03-17,AMZN,-0.011164
2025-03-17,GOOGL,-0.007251
2025-03-17,META,-0.004444
2025-03-17,MSFT,0.000360
2025-03-17,NVDA,-0.017589
2025-03-17,PLTR,0.012871
2025-03-17,RIVN,0.025116
2025-03-17,SOFI,0.019024
2025-03-17,TSLA,-0.047884
2025-03-17,UPST,0.030902
2025-03-18,AAPL,-0.006121
