ticker,factor,exposure
AVGO,Industrials,0.000000
AVGO,Real Estate,0.000000
AVGO,Technology,1.000000
AVGO,Utilities,0.000000
BAC,Basic Materials,0.000000
BAC,Communication Services,0.000000
BAC,Consumer Cyclical,0.000000
BAC,Consumer Defensive,0.000000
BAC,Energy,0.000000
BAC,Financial Services,1.000000
BAC,Healthcare,0.000000
BAC,Industrials,0.000000
BAC,Real Estate,0.000000
BAC,Technology,0.000000
BAC,Utilities,0.000000
CAT,Basic Materials,0.000000
CAT,Communication Services,0.000000
CAT,Consumer Cyclical,0.000000
CAT,Consumer Defensive,0.000000
CAT,Energy,0.000000
CAT,Financial Services,0.000000
CAT,Healthcare,0.000000
CAT,Industrials,1.000000
CAT,Real Estate,0.000000
CAT,Technology,0.000000
CAT,Utilities,0.000000
CELH,Basic Materials,0.000000
CELH,Communication Services,0.000000
CELH,Consumer Cyclical,0.000000
CELH,Consumer Defensive,1.000000
CELH,Energy,0.000000
CELH,Financial Services,0.000000
CELH,Healthcare,0.000000
CELH,Industrials,0.000000
CELH,Real Estate,0.000000
CELH,Technology,0.000000
CELH,Utilities,0.000000
COST,Basic Materials,0.000000
COST,Communication Services,0.000000
COST,Consumer Cyclical,0.000000
COST,Consumer Defensive,1.000000
COST,Energy,0.000000
COST,Financial Services,0.000000
COST,Healthcare,0.000000
COST,Industrials,0.000000
COST,Real Estate,0.000000
COST,Technology,0.000000
COST,Utilities,0.000000
CVX,Basic Materials,0.000000
CVX,Communication Services,0.000000
CVX,Consumer Cyclical,0.000000
CVX,Consumer Defensive,0.000000
CVX,Energy,1.000000
CVX,Financial Services,0.000000
CVX,Healthcare,0.000000
CVX,Industrials,0.000000
CVX,Real Estate,0.000000
CVX,Technology,0.000000
CVX,Utilities,0.000000
FCX,Basic Materials,1.000000
FCX,Communication Services,0.000000
FCX,Consumer Cyclical,0.000000
FCX,Consumer Defensive,0.000000
FCX,Energy,0.000000
FCX,Financial Services,0.000000
FCX,Healthcare,0.000000
FCX,Industrials,0.000000
FCX,Real Estate,0.000000
FCX,Technology,0.000000
FCX,Utilities,0.000000
GE,Basic Materials,0.000000
GE,Communication Services,0.000000
GE,Consumer Cyclical,0.000000
GE,Consumer Defensive,0.000000
GE,Energy,0.000000
GE,Financial Services,0.000000
GE,Healthcare,0.000000
GE,Industrials,1.000000
GE,Real Estate,0.000000
GE,Technology,0.000000
GE,Utilities,0.000000
GOOGL,Basic Materials,0.000000
GOOGL,Communication Services,1.000000
GOOGL,Consumer Cyclical,0.000000
GOOGL,Consumer Defensive,0.000000
GOOGL,Energy,0.000000
GOOGL,Financial Services,0.000000
GOOGL,Healthcare,0.000000
GOOGL,Industrials,0.000000
GOOGL,Real Estate,0.000000
GOOGL,Technology,0.000000
GOOGL,Utilities,0.000000
GS,Basic Materials,0.000000
GS,Communication Services,0.000000
GS,Consumer Cyclical,0.000000
GS,Consumer Defensive,0.000000
GS,Energy,0.000000
GS,Financial Services,1.000000
GS,Healthcare,0.000000
GS,Industrials,0.000000
GS,Real Estate,0.000000
GS,Technology,0.000000
GS,Utilities,0.000000
HD,Basic Materials,0.000000
HD,Communication Services,0.000000
HD,Consumer Cyclical,1.000000
HD,Consumer Defensive,0.000000
HD,Energy,0.000000
HD,Financial Services,0.000000
HD,Healthcare,0.000000
HD,Industrials,0.000000
HD,Real Estate,0.000000
HD,Technology,0.000000
HD,Utilities,0.000000
JNJ,Basic Materials,0.000000
JNJ,Communication Services,0.000000
JNJ,Consumer Cyclical,0.000000
JNJ,Consumer Defensive,0.000000
JNJ,Energy,0.000000
JNJ,Financial Services,0.000000
JNJ,Healthcare,1.000000
JNJ,Industrials,0.000000
JNJ,Real Estate,0.000000
JNJ,Technology,0.000000
JNJ,Utilities,0.000000
JPM,Basic Materials,0.000000
JPM,Communication Services,0.000000
JPM,Consumer Cyclical,0.000000
JPM,Consumer Defensive,0.000000
JPM,Energy,0.000000
JPM,Financial Services,1.000000
JPM,Healthcare,0.000000
JPM,Industrials,0.000000
JPM,Real Estate,0.000000
JPM,Technology,0.000000
JPM,Utilities,0.000000
KO,Basic Materials,0.000000
KO,Communication Services,0.000000
KO,Consumer Cyclical,0.000000
KO,Consumer Defensive,1.000000
KO,Energy,0.000000
KO,Financial Services,0.000000
KO,Healthcare,0.000000
KO,Industrials,0.000000
KO,Real Estate,0.000000
KO,Technology,0.000000
KO,Utilities,0.000000
LIN,Basic Materials,1.000000
LIN,Communication Services,0.000000
LIN,Consumer Cyclical,0.000000
LIN,Consumer Defensive,0.000000
LIN,Energy,0.000000
LIN,Financial Services,0.000000
LIN,Healthcare,0.000000
LIN,Industrials,0.000000
LIN,Real Estate,0.000000
LIN,Technology,0.000000
LIN,Utilities,0.000000
LLY,Basic Materials,0.000000
LLY,Communication Services,0.000000
LLY,Consumer Cyclical,0.000000
LLY,Consumer Defensive,0.000000
LLY,Energy,0.000000
LLY,Financial Services,0.000000
LLY,Healthcare,1.000000
LLY,Industrials,0.000000
LLY,Real Estate,0.000000
LLY,Technology,0.000000
LLY,Utilities,0.000000
MCD,Basic Materials,0.000000
MCD,Communication Services,0.000000
MCD,Consumer Cyclical,1.000000
MCD,Consumer Defensive,0.000000
MCD,Energy,0.000000
MCD,Financial Services,0.000000
MCD,Healthcare,0.000000
MCD,Industrials,0.000000
MCD,Real Estate,0.000000
MCD,Technology,0.000000
MCD,Utilities,0.000000
META,Basic Materials,0.000000
META,Communication Services,1.000000
META,Consumer Cyclical,0.000000
META,Consumer Defensive,0.000000
META,Energy,0.000000
META,Financial Services,0.000000
META,Healthcare,0.000000
META,Industrials,0.000000
META,Real Estate,0.000000
META,Technology,0.000000
META,Utilities,0.000000
MP,Basic Materials,1.000000
MP,Communication Services,0.000000
