date,ticker,return
2025-10-13,MCD,0.010437
2025-10-13,META,0.014746
2025-10-13,MP,0.213429
2025-10-13,MRNA,-0.003354
2025-10-13,MSFT,0.006047
2025-10-13,NEE,0.011398
2025-10-13,NEM,0.050035
2025-10-13,NFLX,-0.000861
2025-10-13,NVDA,0.028172
2025-10-13,ORCL,0.051372
2025-10-13,PLD,0.013396
2025-10-13,PLTR,0.010089
2025-10-13,RIVN,0.020313
2025-10-13,RKLB,0.018052
2025-10-13,ROKU,0.019670
2025-10-13,RTX,0.007292
2025-10-13,SBAC,-0.005183
2025-10-13,SNAP,0.034704
2025-10-13,SO,-0.002137
2025-10-13,SOFI,0.036273
2025-10-13,TSLA,0.054197
2025-10-13,UBER,0.007281
2025-10-13,UNH,0.011735
2025-10-13,UPST,0.020996
2025-10-13,VRTX,-0.001030
2025-10-13,WMT,0.002749
2025-10-13,XOM,0.013637
2025-10-14,AAPL,0.000444
2025-10-14,ABBV,-0.005080
2025-10-14,AES,-0.003463
2025-10-14,AFRM,-0.003553
2025-10-14,AMT,0.018068
2025-10-14,AMZN,-0.016722
2025-10-14,APA,0.003944
2025-10-14,AVGO,-0.035240
2025-10-14,BAC,0.025174
2025-10-14,CAT,0.044992
2025-10-14,CELH,0.011776
2025-10-14,COST,0.011704
2025-10-14,CVX,0.002962
2025-10-14,FCX,-0.018934
2025-10-14,GE,0.008571
2025-10-14,GOOGL,0.005325
2025-10-14,GS,-0.020361
2025-10-14,HD,0.022010
2025-10-14,JNJ,-0.000262
2025-10-14,JPM,-0.019125
2025-10-14,KO,0.010629
2025-10-14,LIN,0.005716
2025-10-14,LLY,-0.008604
2025-10-14,MCD,0.014828
2025-10-14,META,-0.009850
2025-10-14,MP,0.037766
2025-10-14,MRNA,-0.018325
2025-10-14,MSFT,-0.000934
2025-10-14,NEE,0.004033
2025-10-14,NEM,0.012752
2025-10-14,NFLX,-0.003019
2025-10-14,NVDA,-0.044021
2025-10-14,ORCL,-0.029252
2025-10-14,PLD,0.024219
2025-10-14,PLTR,0.014277
2025-10-14,RIVN,0.004594
2025-10-14,RKLB,0.039896
2025-10-14,ROKU,0.006075
2025-10-14,RTX,0.003462
2025-10-14,SBAC,0.015682
2025-10-14,SNAP,-0.016149
2025-10-14,SO,0.016313
2025-10-14,SOFI,0.026898
2025-10-14,TSLA,-0.015279
2025-10-14,UBER,0.001807
2025-10-14,UNH,0.003541
2025-10-14,UPST,0.015927
2025-10-14,VRTX,0.011906
2025-10-14,WMT,0.049843
2025-10-14,XOM,0.000446
2025-10-15,AAPL,0.006336
2025-10-15,ABBV,-0.012700
2025-10-15,AES,0.025017
2025-10-15,AFRM,0.001920
2025-10-15,AMT,0.018873
2025-10-15,AMZN,-0.003789
2025-10-15,APA,0.014404
2025-10-15,AVGO,0.020922
2025-10-15,BAC,0.043721
2025-10-15,CAT,0.012475
2025-10-15,CELH,0.020045
2025-10-15,COST,0.008959
2025-10-15,CVX,-0.001837
2025-10-15,FCX,-0.006195
2025-10-15,GE,0.000133
2025-10-15,GOOGL,0.022734
2025-10-15,GS,-0.003672
2025-10-15,HD,0.001496
2025-10-15,JNJ,0.001677
2025-10-15,JPM,0.011951
2025-10-15,KO,-0.006369
2025-10-15,LIN,-0.017050
2025-10-15,LLY,0.017505
2025-10-15,MCD,0.002266
2025-10-15,META,0.012559
2025-10-15,MP,-0.089204
2025-10-15,MRNA,0.056000
2025-10-15,MSFT,-0.000273
2025-10-15,NEE,0.013587
2025-10-15,NEM,0.033576
2025-10-15,NFLX,-0.009923
2025-10-15,NVDA,-0.001111
2025-10-15,ORCL,0.015451
2025-10-15,PLD,0.063318
2025-10-15,PLTR,-0.000668
2025-10-15,RIVN,0.022104
2025-10-15,RKLB,0.018227
2025-10-15,ROKU,0.044280
2025-10-15,RTX,-0.015056
2025-10-15,SBAC,0.017690
2025-10-15,SNAP,-0.001263
2025-10-15,SO,0.000401
2025-10-15,SOFI,0.005741
2025-10-15,TSLA,0.013769
2025-10-15,UBER,0.002865
2025-10-15,UNH,0.003390
2025-10-15,UPST,0.013495
2025-10-15,VRTX,-0.010480
2025-10-15,WMT,0.016976
2025-10-15,XOM,-0.006056
2025-10-16,AAPL,-0.007580
2025-10-16,ABBV,0.002873
2025-10-16,AES,0.004746
2025-10-16,AFRM,-0.054613
2025-10-16,AMT,0.007578
2025-10-16,AMZN,-0.005103
2025-10-16,APA,-0.010327
2025-10-16,AVGO,0.008027
2025-10-16,BAC,-0.035195
2025-10-16,CAT,0.012939
2025-10-16,CELH,0.018859
2025-10-16,COST,-0.030754
2025-10-16,CVX,-0.002630
2025-10-16,FCX,-0.000240
2025-10-16,GE,-0.000933
2025-10-16,GOOGL,0.001713
2025-10-16,GS,-0.012814
2025-10-16,HD,-0.002343
2025-10-16,JNJ,0.004969
2025-10-16,JPM,-0.023390
2025-10-16,KO,0.007603
2025-10-16,LIN,-0.015905
2025-10-16,LLY,-0.008699
2025-10-16,MCD,0.000262
2025-10-16,META,-0.007637
2025-10-16,MP,-0.066889
2025-10-16,MRNA,-0.020924
2025-10-16,MSFT,-0.003545
2025-10-16,NEE,-0.008626
2025-10-16,NEM,0.050117
2025-10-16,NFLX,-0.016372
2025-10-16,NVDA,0.011010
2025-10-16,ORCL,0.030894
2025-10-16,PLD,-0.012952
2025-10-16,PLTR,-0.008351
2025-10-16,RIVN,-0.037286
2025-10-16,RKLB,-0.032770
2025-10-16,ROKU,-0.032968
2025-10-16,RTX,0.000318
2025-10-16,SBAC,0.015274
2025-10-16,SNAP,-0.018963
2025-10-16,SO,-0.012936
2025-10-16,SOFI,-0.051017
2025-10-16,TSLA,-0.014708
2025-10-16,UBER,-0.021160
2025-10-16,UNH,-0.012405
2025-10-16,UPST,-0.064323
2025-10-16,VRTX,0.001741
2025-10-16,WMT,-0.023480
2025-10-16,XOM,-0.008691
2025-10-17,AAPL,0.019559
2025-10-17,ABBV,0.011901
2025-10-17,AES,-0.016194
2025-10-17,AFRM,-0.016939
2025-10-17,AMT,-0.000940
2025-10-17,AMZN,-0.006668
2025-10-17,APA,-0.020870
2025-10-17,AVGO,-0.013610
2025-10-17,BAC,0.016653
2025-10-17,CAT,-0.025658
2025-10-17,CELH,0.008866
2025-10-17,COST,0.011571
2025-10-17,CVX,0.009030
2025-10-17,FCX,-0.012470
2025-10-17,GE,0.001001
2025-10-17,GOOGL,0.007317
2025-10-17,GS,-0.009656
2025-10-17,HD,0.011642
2025-10-17,JNJ,0.005726
2025-10-17,JPM,-0.003283
2025-10-17,KO,0.012576
2025-10-17,LIN,0.014969
2025-10-17,LLY,-0.020198
2025-10-17,MCD,0.009039
2025-10-17,META,0.006811
2025-10-17,MP,-0.036379
2025-10-17,MRNA,-0.041636
2025-10-17,MSFT,0.003851
2025-10-17,NEE,-0.006114
2025-10-17,NEM,-0.076320
2025-10-17,NFLX,0.013324
2025-10-17,NVDA,0.007755
2025-10-17,ORCL,-0.069297
2025-10-17,PLD,0.024016
2025-10-17,PLTR,0.000168
2025-10-17,RIVN,0.009295
2025-10-17,RKLB,-0.010896
2025-10-17,ROKU,-0.011749
2025-10-17,RTX,0.005731
2025-10-17,SBAC,-0.005876
2025-10-17,SNAP,-0.014175
2025-10-17,SO,-0.006400
2025-10-17,SOFI,-0.002256
2025-10-17,TSLA,0.024630
2025-10-17,UBER,-0.002378
2025-10-17,UNH,-0.000196
2025-10-17,UPST,-0.026891
2025-10-17,VRTX,0.020068
2025-10-17,WMT,0.011834
2025-10-17,XOM,0.014461
2025-10-20,AAPL,0.039439
2025-10-20,ABBV,0.010846
2025-10-20,AES,-0.012346
2025-10-20,AFRM,0.061561
2025-10-20,AMT,0.009358
2025-10-20,AMZN,0.016147
2025-10-20,APA,-0.001332
2025-10-20,AVGO,-0.000258
2025-10-20,BAC,0.014821
2025-10-20,CAT,0.007779
2025-10-20,CELH,-0.006321
2025-10-20,COST,-0.000235
2025-10-20,CVX,0.009146
2025-10-20,FCX,0.024526
2025-10-20,GE,0.008463
2025-10-20,GOOGL,0.012831
2025-10-20,GS,0.016716
2025-10-20,HD,-0.007680
2025-10-20,JNJ,0.002588
2025-10-20,JPM,0.016131
2025-10-20,KO,0.000000
2025-10-20,LIN,0.001486
2025-10-20,LLY,0.007635
2025-10-20,MCD,-0.001039
2025-10-20,META,0.021272
2025-10-20,MP,0.026117
2025-10-20,MRNA,0.047289
2025-10-20,MSFT,0.006250
2025-10-20,NEE,0.002839
2025-10-20,NEM,0.045389
2025-10-20,NFLX,0.032684
2025-10-20,NVDA,-0.003166
2025-10-20,ORCL,-0.048505
2025-10-20,PLD,0.024984
2025-10-20,PLTR,0.019310
2025-10-20,RIVN,0.003837
2025-10-20,RKLB,0.016297
2025-10-20,ROKU,0.021972
2025-10-20,RTX,0.017474
2025-10-20,SBAC,0.007643
2025-10-20,SNAP,0.010458
2025-10-20,SO,-0.001125
2025-10-20,SOFI,0.080633
2025-10-20,TSLA,0.018484
2025-10-20,UBER,0.015168
2025-10-20,UNH,0.022098
2025-10-20,UPST,0.080000
2025-10-20,VRTX,0.005494
2025-10-20,WMT,-0.006312
2025-10-20,XOM,0.004098
2025-10-21,AAPL,0.002021
2025-10-21,ABBV,-0.002887
2025-10-21,AES,-0.005556
2025-10-21,AFRM,0.033435
2025-10-21,AMT,-0.003677
2025-10-21,AMZN,0.025637
2025-10-21,APA,0.004002
2025-10-21,AVGO,-0.018841
2025-10-21,BAC,-0.009992
2025-10-21,CAT,-0.012293
2025-10-21,CELH,-0.016292
2025-10-21,COST,0.001485
2025-10-21,CVX,-0.004467
2025-10-21,FCX,-0.020858
2025-10-21,GE,0.013050
2025-10-21,GOOGL,-0.023738
2025-10-21,GS,-0.005686
2025-10-21,HD,0.005169
2025-10-21,JNJ,-0.009498
2025-10-21,JPM,-0.017430
2025-10-21,KO,0.040620
2025-10-21,LIN,-0.003278
2025-10-21,LLY,-0.011608
2025-10-21,MCD,-0.000942
2025-10-21,META,0.001502
2025-10-21,MP,-0.106031
2025-10-21,MRNA,0.009178
2025-10-21,MSFT,0.001683
2025-10-21,NEE,-0.009201
2025-10-21,NEM,-0.090315
2025-10-21,NFLX,0.002253
2025-10-21,NVDA,-0.008103
2025-10-21,ORCL,-0.007324
2025-10-21,PLD,-0.009357
2025-10-21,PLTR,-0.000441
2025-10-21,RIVN,0.009174
2025-10-21,RKLB,-0.028953
